student_id,student_name,fathers_name,attendance_rate,weekly_study_hours,previous_semester_score,sleep_hours_per_night,extracurricular_activities,parental_education_level,internet_access_at_home,distance_from_school,part_time_job,learning_disability,final_score,passed
25,Amelia White,Ava White,95.91039998113877,8,85.08717666756061,7.0,0,0,1,2,0,0,92.08,1
26,Diya Flores,Jackson Flores,55.5374222659479,5,47.9179191774377,7.0,1,1,1,2,0,0,53.02,0
27,Ava Walker,James Walker,87.97912050573159,24,70.79098502540673,8.0,0,2,1,2,0,0,85.66,1
28,Oliver Wilson,Abigail Wilson,99.4032783326387,38,51.666858665901316,5.0,1,1,1,1,0,0,75.81,1
29,Daniel Scott,Ava Scott,95.06480053873244,27,45.59176717376168,6.0,1,0,0,1,0,1,64.51,1
30,Aditya Smith,Riya Smith,82.5833959353213,32,64.62974764363328,5.0,1,2,1,2,0,0,59.65,0
31,Noah Nguyen,Aditi Nguyen,65.7030397496366,36,49.800198885343434,9.0,0,2,1,2,0,0,58.63,0
32,Aditya Harris,Aditya Harris,62.71609905891584,8,53.30691869153912,7.0,0,1,1,2,0,0,52.38,0
33,Charlotte Perez,Mila Perez,90.96275524357306,17,59.0532747921701,9.0,1,1,1,0,0,1,62.61,1
34,Riaan Robinson,Aarav Robinson,,20,55.563304044591774,4.0,1,0,0,0,0,0,62.75,1
35,Sophia Young,Elijah Young,76.27174562728464,1,45.25547784435678,7.0,1,2,1,0,0,0,63.38,1
36,Oliver Clark,Elizabeth Clark,62.2169970393233,37,45.394974691582135,5.0,0,0,1,1,1,0,42.4,0
37,Mia Garcia,Benjamin Garcia,55.64716042055868,39,51.59496491405009,7.0,1,1,1,2,0,0,68.96,1
38,Oliver Jackson,Oliver Jackson,54.35897339159156,35,43.033551277572336,4.0,1,2,0,1,0,0,40.86,0
39,Jackson Gupta,Olivia Gupta,85.95387236769278,36,77.58742118061562,8.0,1,0,1,1,1,0,84.08,1
40,Benjamin Green,Camila Green,71.00593639238625,14,57.23960299053412,9.0,1,0,0,1,0,0,58.45,0
41,Charlotte Martin,Logan Martin,95.26799371389352,27,56.78475806614426,9.0,0,0,1,2,0,0,69.98,1
42,Logan Lee,Alexander Lee,86.98356503633818,17,59.91989765426591,5.0,0,0,1,0,1,0,44.21,0
43,Isha Torres,Liam Torres,59.56302089572934,33,79.76777645258329,,1,0,1,2,1,0,63.4,1
44,Emily Lopez,Noah Lopez,80.68887094078495,21,92.23803288900943,5.0,0,2,1,2,1,0,63.0,1
45,Isha Sharma,William Sharma,71.77527271990797,10,85.5452159533383,8.0,0,0,1,1,1,0,67.08,1
46,Riya Jones,Mila Jones,78.86248653843066,12,83.6517538135057,7.0,0,2,1,1,0,0,77.92,1
47,William Martin,Camila Martin,86.90345616692585,3,69.06347113605096,7.0,1,0,1,1,0,0,79.07,1
48,Aarav Flores,Riya Flores,90.30979405018954,21,81.6283334180447,5.0,0,1,1,0,0,0,62.52,1
49,Ava Martin,Isabella Martin,92.18686632033621,6,73.16574208201499,5.0,0,1,1,0,0,0,63.08,1
50,Arjun Wilson,William Wilson,62.69874372860124,23,52.97503169119173,4.0,0,0,0,0,0,0,41.43,0
51,Ava Walker,Isabella Walker,51.55577999586789,3,52.51530206446304,10.0,1,1,1,2,1,0,28.99,0
52,Ella Lewis,Elizabeth Lewis,86.96473675823866,27,57.78352041251701,10.0,1,2,1,1,0,0,71.34,1
53,Olivia Nguyen,Camila Nguyen,55.31718631278873,14,94.6481602581888,8.0,0,0,1,2,0,0,67.54,1
54,Sofia Torres,Arjun Torres,65.74597943064839,0,72.84489042278355,10.0,0,2,1,0,1,0,43.46,0
55,Alexander Jones,Aditya Jones,50.19085670621736,2,84.03432262011216,4.0,1,0,1,1,1,0,31.77,0
56,William Garcia,Michael Garcia,84.08347412008101,13,60.79352558899286,9.0,1,1,1,0,0,0,63.53,1
57,James Robinson,Henry Robinson,58.35660057356106,37,64.46294623991352,7.0,0,2,1,1,1,0,65.06,1
58,Mila Jackson,Aditi Jackson,82.76412048458292,0,47.53393471823508,5.0,0,1,1,1,1,0,35.25,0
59,Evelyn Allen,Aditya Allen,99.58713085839194,37,50.27769746930022,7.0,1,1,1,2,0,0,92.29,1
60,Ella Flores,Henry Flores,53.63354358050081,37,89.64139328956873,7.0,1,0,0,2,0,0,70.15,1
61,Jackson Moore,Elijah Moore,53.85390059757304,20,75.09031790133292,6.0,0,2,1,0,0,0,48.54,0
62,Abigail Walker,Noah Walker,67.01900463333374,28,60.25194795302913,9.0,1,1,1,2,0,0,58.82,0
63,Aarav Walker,Michael Walker,93.31932571256709,4,88.17107253973276,6.0,0,0,1,2,0,0,74.62,1
64,Avery Hernandez,Charlotte Hernandez,60.77649343956659,9,54.79119433827898,10.0,0,0,1,2,1,0,48.97,0
65,Emma Sharma,Isabella Sharma,68.01889099651737,27,98.56196191601222,7.0,0,0,1,1,1,0,76.24,1
66,Olivia Perez,Camila Perez,53.425270331348976,20,60.68905646477019,5.0,1,1,0,2,1,0,26.16,0
67,Oliver Wright,Mason Wright,88.15776456294446,6,60.238657249073654,7.0,0,0,0,0,1,0,63.81,1
68,Abigail Miller,Elijah Miller,70.41531713797255,2,58.71471433220231,9.0,0,2,1,1,1,0,46.5,0
69,Mia Lopez,Isha Lopez,87.96243665304215,19,47.32669095545727,6.0,1,2,1,1,0,0,60.59,1
70,Logan Nguyen,Arjun Nguyen,95.18039221733974,18,46.668228839920744,5.0,1,1,1,2,0,0,52.89,0
71,Isabella Ramirez,Aarav Ramirez,61.638157355064436,34,78.8863020720474,7.0,0,2,1,1,1,0,73.26,1
72,Sofia Ramirez,Evelyn Ramirez,90.36980151699757,3,92.50708267348281,8.0,0,0,1,0,0,0,83.33,1
73,Aditya Sanchez,Diya Sanchez,52.95469450391266,4,87.43123061630041,9.0,1,1,1,0,0,0,42.11,0
74,Avery Jackson,Riya Jackson,94.94236940901237,0,48.466455641281065,9.0,1,0,1,1,0,0,55.93,0
75,Sofia Green,Lucas Green,82.53842737793737,3,72.73492730752399,8.0,1,1,1,2,1,1,70.82,1
76,Mia Hill,Mia Hill,,11,46.3354927585984,7.0,0,1,1,2,0,0,77.04,1
77,Emily Young,Aarav Young,50.0094199778291,26,42.717678616784646,9.0,0,0,1,1,1,1,34.03,0
78,Isabella Ramirez,James Ramirez,58.45405351779962,22,79.38315156308603,5.0,0,2,1,0,0,0,39.93,0
79,Diya Moore,Diya Moore,69.4879693713246,24,72.10914002082102,7.0,1,2,1,1,0,0,74.4,1
80,Alexander Smith,Mia Smith,68.97514516873593,20,44.92142111268825,7.0,0,1,1,2,0,0,61.68,1
81,Sebastian Green,Lucas Green,61.33651914617553,23,42.096354784359306,6.0,1,0,1,2,1,0,44.66,0
82,Noah White,Elijah White,69.08059699336,24,99.38538480456008,9.0,0,0,1,1,0,1,73.8,1
83,Alexander Flores,Emily Flores,56.44243560001274,31,41.80127992894431,9.0,1,1,1,0,1,0,41.08,0
84,Riaan Taylor,Riya Taylor,70.6380564633013,31,66.67169518300958,8.0,0,2,1,1,0,0,74.16,1
85,Ethan Rodriguez,Mila Rodriguez,90.11771645796321,4,70.27714147646174,6.0,0,0,1,0,0,1,61.56,1
86,Alexander Lee,Jacob Lee,73.95350315516757,35,47.036808868026704,10.0,1,2,1,0,0,0,60.53,1
87,Sofia Lewis,Ella Lewis,50.90000444726075,38,50.14370670638297,6.0,1,2,1,1,0,0,54.84,0
88,Aarav Thompson,Riaan Thompson,71.07220207896236,15,61.108300384621145,9.0,0,1,1,1,0,0,57.05,0
89,Isabella Torres,Henry Torres,51.35875080454221,32,85.70055257281976,7.0,1,1,1,0,0,0,64.27,1
90,Emma Wright,Logan Wright,98.3121705353399,20,70.424945443616,6.0,1,2,1,0,1,0,76.02,1
91,Noah Garcia,Arjun Garcia,,8,78.2741124731777,8.0,0,0,1,0,0,0,57.91,0
92,Abigail Miller,Ella Miller,85.38441631653095,5,99.11047330544048,6.0,1,0,0,0,0,0,74.55,1
93,Avery Lewis,Ava Lewis,98.63881614460429,34,86.08032611879258,8.0,0,1,1,2,1,0,90.95,1
94,Sebastian Flores,Aditi Flores,,38,66.06168988847307,,0,2,1,1,0,0,77.9,1
95,Evelyn Lopez,Oliver Lopez,84.96576875631018,21,66.78651530779293,6.0,1,0,1,0,0,1,70.52,1
96,Jacob Ramirez,Sophia Ramirez,91.97304547503835,4,77.1263246224603,8.0,1,0,1,1,0,0,73.94,1
97,Evelyn Torres,Liam Torres,99.08993466303139,22,79.92191250513426,6.0,0,1,1,0,0,0,81.33,1
98,James Wright,Aditi Wright,81.06722486267648,16,70.04265555020028,10.0,0,2,1,1,0,0,60.81,1
99,Liam Johnson,William Johnson,77.95924034146633,11,78.69167336889879,6.0,0,0,1,1,1,0,57.32,0
100,Avery Wilson,Emma Wilson,81.41190552316407,22,41.41194966484593,5.0,0,1,1,0,0,0,50.14,0
101,Liam Smith,Lucas Smith,,15,65.77737183381065,8.0,0,0,1,0,0,0,71.27,1
102,Alexander Jackson,Logan Jackson,,2,56.73628456440861,10.0,0,0,1,1,0,0,53.61,0
103,Avery Ramirez,Ava Ramirez,72.49211039862796,29,47.75046671458662,8.0,1,0,1,1,1,0,66.65,1
104,Mila Sharma,Liam Sharma,60.922159144165356,21,45.97279076852651,8.0,1,1,1,1,0,0,59.44,0
105,Elijah Smith,Noah Smith,56.01236132558378,8,76.19152993688004,4.0,1,2,1,2,1,0,33.11,0
106,Riaan Perez,Alexander Perez,53.41704677661302,28,71.4160328291567,10.0,0,1,1,0,1,0,47.97,0
107,Jacob Brown,Emily Brown,63.16578918766,36,55.21504701978215,6.0,1,2,1,2,1,0,59.74,0
108,Jacob Patel,Logan Patel,52.30617821678669,22,68.25700352635087,8.0,0,0,1,2,1,0,57.41,0
109,Arjun Wilson,Riya Wilson,,12,69.5339389109445,9.0,0,2,1,0,0,0,57.73,0
110,Henry Martin,James Martin,64.19142235117602,31,51.70053882631695,4.0,1,0,1,0,1,1,45.12,0
111,Olivia Robinson,Olivia Robinson,91.2267404043516,22,79.12558371289904,5.0,0,0,0,2,0,0,70.98,1
112,Noah Moore,Michael Moore,53.71204364941932,16,86.85516138316542,8.0,0,1,1,0,1,0,58.96,0
113,Arjun Gonzalez,Avery Gonzalez,61.317574717074294,39,87.48781245337113,8.0,0,0,0,1,0,0,80.48,1
114,Mila Miller,Mia Miller,86.5123073545073,20,76.1481898422073,4.0,0,1,1,1,1,0,49.52,0
115,Noah Gonzalez,Riaan Gonzalez,79.94041481917458,1,70.69831495114084,6.0,0,2,1,2,0,0,54.3,0
116,Emily Johnson,Daniel Johnson,53.22456356245838,36,43.660428580323696,,0,2,1,2,0,0,54.41,0
117,Amelia Young,Mia Young,93.86197285811002,5,57.26987793109635,5.0,1,0,1,0,1,0,45.87,0
118,Elijah Perez,Aria Perez,93.86308814130898,17,45.596286806690195,8.0,0,1,1,0,0,0,75.86,1
119,Emma Thomas,Mason Thomas,66.52040019378869,29,97.82938965270841,6.0,0,0,1,2,0,0,68.33,1
120,Amelia Ramirez,Noah Ramirez,67.02029216747823,21,48.10480877354564,10.0,0,1,1,2,0,0,54.07,0
121,Diya Torres,Aditi Torres,99.45141791750869,32,49.10652459106612,9.0,0,1,1,1,1,0,74.98,1
122,Mila Scott,Riaan Scott,81.30880857965691,29,93.37459709982953,10.0,1,1,1,1,0,0,80.98,1
123,Sofia Anderson,Aria Anderson,76.56582602840295,16,96.63569700858747,9.0,1,2,1,0,0,0,66.37,1
124,Jackson Sharma,Isha Sharma,91.90760917759621,31,85.94974235409458,5.0,0,1,0,1,0,0,74.86,1
125,Arjun White,Lucas White,64.26451691786582,13,40.324295420360194,7.0,0,2,0,0,0,0,61.46,1
126,Riya Jackson,Mason Jackson,71.45912966981784,9,40.08077625739382,9.0,0,1,1,0,1,0,45.39,0
127,Elizabeth Sanchez,Aria Sanchez,63.38883377441671,35,62.686046187247044,7.0,1,2,1,0,1,0,67.71,1
128,Sebastian Walker,Benjamin Walker,89.45804232943658,33,48.60372220065355,10.0,1,2,1,1,0,0,65.03,1
129,Diya Gonzalez,Mia Gonzalez,78.6674672817609,8,41.10316852909584,9.0,1,2,1,2,0,0,50.53,0
130,Logan Smith,Riya Smith,82.94125350700352,27,67.84400136427028,5.0,1,0,1,2,1,0,63.2,1
131,Aarav Martinez,Daniel Martinez,62.61536249197033,10,96.5837138444183,4.0,0,1,1,1,0,0,54.82,0
132,Olivia Allen,Arjun Allen,61.011265068865754,13,,5.0,1,0,1,2,0,0,40.78,0
133,Jacob Miller,Mia Miller,74.41873144914693,38,79.66844070572179,5.0,1,1,1,0,0,0,62.67,1
134,Camila Walker,Aditya Walker,86.87828745464134,18,79.13412118794645,4.0,0,1,1,2,0,0,63.08,1
135,Elijah Gonzalez,Lucas Gonzalez,76.261987876008,14,55.06480621991007,4.0,0,0,1,1,0,0,50.37,0
136,Emma Taylor,Isabella Taylor,51.63228387728343,27,79.02551492943186,6.0,1,2,1,2,0,0,59.95,0
137,Evelyn Lewis,Harper Lewis,93.42757531601444,23,52.74003845721347,9.0,1,1,1,0,0,0,72.63,1
138,Evelyn Rodriguez,Elijah Rodriguez,53.23434467575658,7,47.32044481461334,10.0,1,2,1,0,0,0,41.06,0
139,Ava Young,Michael Young,97.79122418603761,8,82.08299713358142,6.0,1,0,1,1,1,0,70.06,1
140,Henry Scott,Oliver Scott,51.25709791386364,32,,4.0,0,2,1,1,0,0,38.38,0
141,Amelia Walker,Aditya Walker,84.72252280653544,32,99.81455311536132,7.0,0,1,1,1,1,0,87.94,1
142,Riya Walker,Aditi Walker,54.110353185589084,18,51.00714406901376,10.0,1,1,1,0,0,0,46.47,0
143,Riya Harris,Abigail Harris,,2,75.64851176538745,7.0,1,1,1,2,1,0,78.02,1
144,Charlotte Anderson,Emily Anderson,73.22166181127713,9,64.68247428475536,5.0,1,0,0,2,1,0,43.67,0
145,Liam Walker,Alexander Walker,56.87618874085077,39,47.58318534434002,8.0,1,1,1,1,1,0,56.03,0
146,Benjamin Torres,Ella Torres,67.04078498949232,0,41.670634454644805,5.0,1,0,1,2,1,0,21.07,0
147,Daniel Lewis,Ava Lewis,58.2412337673381,28,77.36393693757,5.0,0,2,1,2,0,0,54.57,0
148,Aditya Lewis,Benjamin Lewis,58.5290955778545,33,88.40545382734757,8.0,0,1,1,1,0,0,76.85,1
149,Oliver Gupta,Sebastian Gupta,97.4054160085721,12,90.52093969040465,9.0,0,1,1,1,0,0,80.46,1
150,Amelia Garcia,Daniel Garcia,72.26230561423941,0,68.96280838461607,4.0,1,1,1,0,0,0,42.82,0
151,Diya Johnson,Ethan Johnson,89.44011319526797,33,86.64732803094313,,1,2,1,0,0,0,100.0,1
152,Ananya Lewis,Charlotte Lewis,81.9802780588841,28,80.37082800931267,5.0,0,1,1,0,1,0,58.51,0
153,James Moore,Liam Moore,83.82131811691961,12,83.455271649948,8.0,0,0,1,0,0,1,83.8,1
154,Harper Sanchez,Isabella Sanchez,56.584671923601924,28,69.55594031330884,6.0,1,2,1,2,0,1,57.75,0
155,Henry King,Aditya King,61.70922234077428,38,78.00470441452762,,0,2,1,2,1,0,46.02,0
156,Isha Garcia,Logan Garcia,89.33751675772184,23,88.33155481456342,7.0,1,2,0,0,0,1,86.3,1
157,Abigail Thompson,Riya Thompson,98.53831032373915,25,63.873050533421385,4.0,1,2,1,0,0,0,66.36,1
158,Michael Gupta,Ethan Gupta,63.133782129932584,16,88.35873405205503,5.0,0,2,1,1,1,0,49.76,0
159,Ethan Lewis,Arjun Lewis,63.57843823755199,6,75.52101056734378,,0,0,1,2,0,0,46.71,0
160,Alexander Lewis,Diya Lewis,73.64485664054524,12,49.954061462247175,9.0,0,2,1,2,0,0,54.59,0
161,Olivia Thomas,Elizabeth Thomas,99.19201564277189,4,41.48104943347508,8.0,1,1,1,0,1,0,64.87,1
162,Aditya Walker,Riaan Walker,63.44794729132355,25,61.76521602394912,6.0,1,2,0,2,1,1,48.45,0
163,Ananya Flores,Sophia Flores,70.34859548171319,2,72.80177969778039,6.0,0,2,1,1,1,0,52.6,0
164,Alexander Sanchez,Sofia Sanchez,94.57400078117533,6,90.3892211322093,10.0,1,2,1,1,0,0,69.72,1
165,Emily Brown,Isabella Brown,50.1460516310681,38,47.64914080841477,4.0,1,2,1,2,1,0,35.97,0
166,Ella Torres,Elizabeth Torres,51.988298249428475,0,88.01238086101475,10.0,1,2,1,0,0,0,55.05,0
167,Avery Martin,Diya Martin,80.20358385356096,16,91.78054276403361,,0,0,0,2,0,0,79.58,1
168,Emily Clark,Sebastian Clark,95.36900823564235,24,49.04124922005003,4.0,1,0,1,1,0,0,56.85,0
169,Ella Lewis,Sebastian Lewis,61.94283302009639,2,91.09565915825314,5.0,0,2,1,0,0,0,36.43,0
170,Lucas Ramirez,Daniel Ramirez,73.48208873403544,14,99.48721407056752,5.0,0,0,1,2,0,0,68.55,1
171,Mason Lewis,Amelia Lewis,72.52326508289092,28,83.61032986289425,6.0,1,1,1,0,0,0,71.99,1
172,Emma Anderson,Aditya Anderson,73.64856730477551,31,87.08618090949928,7.0,0,2,1,0,0,0,80.34,1
173,Riya Nguyen,Diya Nguyen,81.12598478648727,25,99.66491605353241,8.0,1,1,0,1,0,1,88.32,1
174,Elizabeth Johnson,Aarav Johnson,,15,76.32887503155672,7.0,0,1,1,0,1,0,64.84,1
175,Jackson Martin,Riaan Martin,72.3734070661229,24,58.47318292097496,5.0,0,2,1,2,0,0,43.51,0
176,Jacob Moore,Isha Moore,73.71442102156303,27,90.25185004456334,8.0,1,1,0,0,0,0,85.96,1
177,Mason Smith,Sebastian Smith,79.54337206355208,8,76.86914665069787,7.0,0,1,1,0,0,0,72.92,1
178,Abigail Nguyen,Isabella Nguyen,76.85037441756792,0,74.8717254232574,7.0,0,1,1,2,0,1,69.39,1
179,Liam Perez,Harper Perez,92.70679988252522,28,55.21813333084229,8.0,0,2,1,1,0,0,84.22,1
180,Ananya Scott,Lucas Scott,52.47484267468333,21,85.38005617497319,5.0,1,2,1,1,0,0,46.12,0
181,Mila Miller,Harper Miller,91.66585357365062,15,44.90003655160577,7.0,1,1,1,2,0,0,65.03,1
182,Aria Wright,Alexander Wright,92.1962306305862,6,95.45722424767968,8.0,0,2,1,2,1,1,83.59,1
183,Emily Nguyen,William Nguyen,64.24540107654803,13,59.549407646229085,,0,2,1,1,0,0,46.56,0
184,Logan Walker,Logan Walker,73.14259775079253,28,47.66647916739943,9.0,0,1,0,0,0,0,56.86,0
185,Riya Martin,William Martin,71.92692442687178,18,66.54199198614512,5.0,1,2,1,2,0,0,48.01,0
186,Isabella Jones,Mia Jones,60.925491717706514,18,42.54819455539199,8.0,1,0,1,0,0,0,48.09,0
187,Daniel Green,Sophia Green,69.83984235431582,1,81.07757165589797,9.0,0,2,1,2,0,0,52.4,0
188,Amelia Sharma,Evelyn Sharma,52.21938860854272,14,,8.0,1,0,1,1,0,0,61.97,1
189,Ava Gonzalez,Sebastian Gonzalez,63.89110363908672,2,90.23578042831053,7.0,1,1,1,0,0,0,62.89,1
190,Oliver Martinez,Ava Martinez,90.8341087725359,10,47.64216840687286,5.0,1,2,1,0,1,0,39.99,0
191,Mason Lopez,Evelyn Lopez,64.22811508814488,29,,9.0,1,1,1,2,1,0,54.02,0
192,Alexander Robinson,Benjamin Robinson,90.91033343741238,39,88.80606893945584,10.0,0,1,1,0,0,0,90.28,1
193,Liam Ramirez,Logan Ramirez,76.57997323022154,17,95.45525647618695,7.0,1,1,1,2,1,0,72.63,1
194,Mason Moore,Abigail Moore,93.993133868058,1,67.64018979000934,10.0,1,1,1,1,0,0,62.86,1
195,Riya Moore,Avery Moore,78.73897771322076,31,69.93826701482595,10.0,0,1,1,0,1,0,70.08,1
196,Harper Nguyen,Aditya Nguyen,51.48341115323699,7,59.095722483143554,4.0,0,2,1,2,0,0,29.09,0
197,Noah Lopez,Evelyn Lopez,83.77101037735446,21,93.65590709538483,4.0,1,0,1,0,0,0,61.9,1
198,Aria Allen,Elijah Allen,52.24267840117843,5,78.69417431754135,5.0,1,2,1,2,1,0,30.12,0
199,Mila Garcia,Daniel Garcia,72.5298509491567,11,57.29509463004211,9.0,0,2,1,2,1,0,44.86,0
200,Riaan Flores,Sofia Flores,96.4713347236557,39,57.926972263255095,9.0,0,2,1,2,1,0,74.93,1
201,Olivia Wright,Sophia Wright,58.26019696689251,35,93.47200438381614,9.0,0,2,1,1,0,0,68.3,1
202,Aditya Brown,Riya Brown,69.4936176470772,14,40.81804143434929,8.0,1,0,1,0,1,0,58.16,0
203,Isha Ramirez,Charlotte Ramirez,86.49301544242391,27,59.3635943635983,7.0,1,2,1,1,1,0,84.3,1
204,Ethan Walker,Elijah Walker,94.11292780474238,17,73.26140087298214,9.0,0,1,1,2,0,0,80.4,1
205,Jackson Gonzalez,Daniel Gonzalez,83.5471502371254,1,48.89304772595948,7.0,1,2,1,2,0,1,63.01,1
206,Isabella Nguyen,Sophia Nguyen,62.908662709558456,12,45.52592525197539,5.0,0,2,1,1,0,0,44.43,0
207,Ethan Thomas,Mila Thomas,83.73039264581081,14,88.91657986543359,10.0,1,0,1,1,1,0,69.15,1
208,Ananya Thomas,Olivia Thomas,64.8363820552045,19,93.66426331891043,9.0,0,0,1,0,0,0,60.58,1
209,Alexander Perez,Ella Perez,85.92146149093676,28,89.41638524789137,,0,1,1,2,0,0,70.76,1
210,Avery Perez,Riaan Perez,97.70165637925203,28,93.92727338424086,9.0,1,2,0,1,0,0,86.17,1
211,Mason Miller,Michael Miller,,2,73.18671826350229,4.0,1,2,1,2,0,0,47.61,0
212,James Sharma,Mila Sharma,93.14402514562062,18,88.73548725942052,6.0,1,2,1,2,0,0,74.81,1
213,Aarav Robinson,Lucas Robinson,50.10519215879417,2,63.04255830346602,5.0,1,1,1,0,0,0,27.39,0
214,Jacob Lee,Ananya Lee,85.87860623657971,13,79.97607168874231,9.0,1,0,1,0,1,0,68.04,1
215,Jackson Green,Harper Green,91.47937784326251,39,99.33013188334988,6.0,1,1,0,0,0,0,96.46,1
216,Aarav Gonzalez,Avery Gonzalez,52.02793687723407,3,53.54366343034765,5.0,0,2,1,1,1,0,16.8,0
217,Sofia Williams,Mia Williams,93.57988636441152,10,63.39398477746484,8.0,1,0,1,2,0,0,76.95,1
218,Harper Harris,Ella Harris,62.83471141550229,30,68.80284263860514,9.0,0,0,0,1,0,0,63.29,1
219,Emma Martinez,Alexander Martinez,83.26460509890276,31,48.2809292212031,8.0,0,1,1,1,0,0,78.55,1
220,Logan Gonzalez,Diya Gonzalez,90.01774395117033,26,44.86231662790341,4.0,1,0,1,0,0,0,61.25,1
221,Avery Moore,Jacob Moore,83.13322565296778,29,89.78337197929747,9.0,0,0,1,2,0,0,77.58,1
222,Emily Hernandez,Arjun Hernandez,54.61423960366286,1,98.60766236965517,10.0,0,2,1,2,1,0,50.94,0
223,Alexander Williams,Sophia Williams,79.81607594301842,8,64.28350382977952,4.0,1,2,1,0,0,0,49.16,0
224,Ethan Williams,William Williams,77.47918283610719,27,45.258990171679194,6.0,1,0,1,2,0,0,64.6,1
225,James Gonzalez,Oliver Gonzalez,95.01606340371357,30,43.948705641434586,5.0,1,0,1,0,0,0,61.67,1
226,Logan Perez,Isabella Perez,70.21198648221046,33,93.47909238161792,7.0,0,1,1,1,0,0,84.9,1
227,Lucas Wright,Riya Wright,66.0540548543525,14,67.82885498366079,,1,1,1,1,1,0,33.6,0
228,Daniel Lewis,Liam Lewis,87.49253822182331,24,59.201638993743515,7.0,1,0,1,0,0,0,76.91,1
229,Ethan Allen,Ella Allen,70.63376630416982,35,68.58767627436397,7.0,1,2,1,1,0,0,77.63,1
230,Mason Davis,Diya Davis,82.30480875025316,7,59.09824568154084,5.0,1,0,1,1,0,0,49.01,0
231,Olivia Young,Lucas Young,82.32250450623035,8,69.3421465184572,6.0,0,0,1,0,0,1,72.92,1
232,Michael Clark,Charlotte Clark,94.4019532180059,36,91.57338381507621,5.0,1,2,1,1,0,0,78.59,1
233,Sophia Thomas,Emma Thomas,79.93462011595487,38,75.53808226372574,9.0,0,2,1,2,0,0,72.12,1
234,Jacob Sharma,Sebastian Sharma,75.10768049809934,31,81.67922636861053,4.0,1,1,0,1,0,0,69.88,1
235,Olivia Green,Sofia Green,56.94356631982585,16,61.880240574060196,7.0,0,1,1,0,0,0,63.05,1
236,Aditya Gonzalez,Camila Gonzalez,55.786880333935265,34,84.31035271063112,5.0,0,1,1,2,0,0,49.14,0
237,Evelyn Gonzalez,Arjun Gonzalez,57.71607826415397,36,79.99702509276234,5.0,0,1,1,2,1,0,51.49,0
238,Liam White,Sofia White,58.592424066354724,18,47.17371986512339,5.0,1,2,0,1,0,0,39.65,0
239,Jacob Thompson,Evelyn Thompson,81.89385463318169,28,74.35857118693508,4.0,0,0,1,2,1,0,59.1,0
